UserID,WindowID,Split,City,State,Country,ZipCode,DegreeType,Major,GraduationDate,WorkHistoryCount,TotalYearsExperience,CurrentlyEmployed,ManagedOthers,ManagedHowMany,Skills
2549,1,Train,College Park,MD,US,20740,Master's,Liberal Arts,,10,17,Yes,No,0,"liberal arts, english, literature, debating, public speaking"
2571,1,Train,Tampa,FL,US,33618,High School,Not Applicable,,1,0,No,No,0,competition
2604,1,Train,Branchburg,NJ,US,8876,High School,"Business Administration and Management, General",1997-06-01 00:00:00,3,9,No,Yes,5,"business, finance, management, auditing, accounting, cost reduction, data analysis"
2638,1,Train,Montclair,NJ,US,7042,High School,Not Applicable,1974-01-01 00:00:00,4,17,Yes,No,0,competition
2652,1,Test,Glendale,CA,US,91204,High School,Not Applicable,1987-01-01 00:00:00,3,21,No,Yes,3,competition
2658,1,Train,Whittier,CA,US,90601,High School,Not Applicable,,4,17,,No,0,competition
2700,1,Train,Hoffman Estates,IL,US,60192,High School,Not Applicable,2005-01-01 00:00:00,1,3,Yes,No,0,competition
2718,1,Train,Miami,FL,US,33132,Bachelor's,Education,2011-12-01 00:00:00,3,8,No,No,0,"education, communication"
2731,1,Train,Franklin,TN,US,37064,Associate's,Criminal Justice Policy &amp; Practice,2005-06-01 00:00:00,8,17,,No,0,"law, criminal science, decision making"
2739,1,Test,Richmond,VA,US,23231,High School,Not Applicable,1999-01-01 00:00:00,4,9,No,No,0,competition
2750,1,Test,Des Moines,IA,US,50313,High School,Not Applicable,1989-01-01 00:00:00,2,6,Yes,No,0,competition
2754,1,Train,Plano,IL,US,60545,Associate's,Communication Studies,,2,19,Yes,Yes,40,"communication, interpersonal, debating, public speaking"
2848,1,Test,Farmersville,TX,US,75442,Bachelor's,Journalism/Public Relations and Political Science,,3,10,,No,0,"journalism, politics, political science, communication, problem solving, public relations, interpersonal"
2865,1,Train,Wentzville,MO,US,63385,Associate's,business management,1986-01-01 00:00:00,4,27,,No,0,"business, finance, management, leadership"
2898,1,Train,East Chicago,IN,US,46312,Bachelor's,Management of Information Systems,,2,8,No,No,0,"management, information systems, communication, problem solving, leadership"
2958,1,Train,Clinton Township,MI,US,48038,Bachelor's,Business Management,2010-01-01 00:00:00,2,7,Yes,Yes,1,"business, finance, management, communication, market analysis, cost reduction, "
2964,1,Train,Rock Hill,SC,US,29730,Bachelor's,Business / Computer Science Minor Paralegal,2004-09-01 00:00:00,6,9,No,No,0,"business, finance, management, computers, computer science, C, Python, Java, app development, android"
3050,1,Train,Bolingbrook,IL,US,60440,None,Business Administration,1995-01-01 00:00:00,2,13,No,No,0,"business, finance, management, cost reduction, leadership"
3054,1,Train,Phoenix,AZ,US,85008,None,Digital Photography,2010-12-01 00:00:00,3,11,No,Yes,10,"creativity, photography, digital photography"
3069,1,Train,Amherst,OH,US,44001,High School,Not Applicable,1978-06-01 00:00:00,3,17,Yes,No,0,competition
3123,1,Train,Mineola,NY,US,11501,None,Applied Behavioral Analysis,2009-06-01 00:00:00,7,33,Yes,No,0,"behavioral analysis, communication, interpersonal"
3145,1,Train,Lexington,SC,US,29072,Master's,Accounting,2012-04-01 00:00:00,5,6,No,No,0,"accounting, finance, market analysis, cost reduction, auditing"
3164,1,Train,Garfield,GA,US,30425,High School,Not Applicable,2001-05-01 00:00:00,5,7,No,No,0,competition
3165,1,Train,Hershey,PA,US,17033,None,Practical Nursing Program,2012-03-01 00:00:00,2,10,,No,0,"nursing, nurturing, patience, medicinal science"
3176,1,Train,South Elgin,IL,US,60177,Associate's,Early Childhood Education,2011-05-01 00:00:00,5,7,No,No,0,"childhood education, psychology, communication"
